═══════════════════════════════════════════════════════════════════════════════
  GOD EAR V3 — CALIBRATION DATA ANALYSIS
═══════════════════════════════════════════════════════════════════════════════


### METRIC: scaledKick
Category                        n     min      p25      med      p75      p90      p95      max      mean
samples_Cymbals                 12    0.1500   0.1500   0.3200   0.3200   0.3200   0.3200   0.4900   0.2633
samples_bass_melodies           12    0.4900   0.4900   0.6600   0.8300   0.8300   0.8300   1.0000   0.6883
samples_kicks__techno           27    0.1500   0.1500   0.1500   0.1500   0.3200   0.3200   0.3200   0.1752
samples_kit_acustic             28    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500
samples_pads_melodies           25    0.6600   0.6600   0.6600   1.0000   1.0000   1.0000   1.0000   0.8232

### METRIC: spectralFluxV3
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    0.9899   0.9915   0.9933   0.9958   0.9980   0.9980   0.9982   0.9945
Hi_Hats_Sabian_B8               29    0.9825   0.9982   0.9994   0.9998   1.0000   1.0000   1.0000   0.9983
Hi_Hats_Zildjian_K_Hats         27    0.9913   0.9981   0.9988   0.9994   0.9997   0.9998   0.9999   0.9985
Kicks_Acoustic                  20    0.5910   0.8636   0.8761   0.9485   0.9504   0.9505   0.9569   0.8503
Kicks_Kes_Kick                   8    0.5315   0.8050   0.9854   0.9914   0.9929   0.9929   0.9931   0.9065
Kicks_Loose_Kick                 8    0.4482   0.6621   0.9319   0.9484   0.9586   0.9586   0.9626   0.8405
Snares_Acoustic                  4    0.9792   0.9792   0.9801   0.9847   0.9847   0.9847   0.9854   0.9823
Snares_Ludwig_A                 32    0.6275   0.9258   0.9863   0.9980   0.9984   0.9986   0.9995   0.9519
Snares_Ludwig_B                 32    0.6064   0.9434   0.9979   0.9997   0.9999   0.9999   0.9999   0.9609
Snares_Ludwig_C                 32    0.4778   0.9548   0.9978   0.9998   0.9999   0.9999   1.0000   0.9552
Snares_Piccolo_Sidestick        14    0.6499   0.6823   0.9921   0.9938   0.9949   0.9966   0.9977   0.8778
Snares_Sonor_Force_3000         40    0.4607   0.9148   0.9677   0.9896   0.9959   0.9978   0.9992   0.9165
Snares_Tama_Wood                56    0.9211   0.9693   0.9910   0.9968   0.9981   0.9988   0.9989   0.9804
Snares_Wooden_Piccolo           20    0.9757   0.9959   0.9973   0.9993   0.9996   0.9999   0.9999   0.9953
samples_Cymbals                 12    0.8847   0.8997   0.9429   0.9998   1.0000   1.0000   1.0000   0.9578
samples_bass_melodies           12    0.7326   0.8323   0.9012   0.9359   0.9476   0.9975   0.9996   0.8898
samples_kicks__techno           27    0.3081   0.6196   0.7853   0.9108   0.9408   0.9796   0.9979   0.7406
samples_kit_acustic             28    0.6370   0.9398   0.9908   0.9991   1.0000   1.0000   1.0000   0.9443
samples_pads_melodies           25    0.3167   0.5556   0.7649   0.8003   0.8713   0.9209   0.9524   0.6927

### METRIC: strobeDrive
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
