═══════════════════════════════════════════════════════════════════════════════
  GOD EAR V3 — CALIBRATION DATA ANALYSIS
═══════════════════════════════════════════════════════════════════════════════


### METRIC: scaledKick
Category                        n     min      p25      med      p75      p90      p95      max      mean
CYMBALS     n= 12 | >1.0:   0 (0.0%) | >1.2:   0 (0.0%) | >1.5:   0 (0.0%) | absMax=0.0322
MELODIC     n= 37 | >1.0:   0 (0.0%) | >1.2:   0 (0.0%) | >1.5:   0 (0.0%) | absMax=0.8383
FULLKIT     n= 28 | >1.0:   0 (0.0%) | >1.2:   0 (0.0%) | >1.5:   0 (0.0%) | absMax=0.5406


═══════════════════════════════════════════════════════════════════════════════
  STROBE THRESHOLD SWEEP — % of samples above threshold
═══════════════════════════════════════════════════════════════════════════════
Group           0.15   0.20   0.25   0.30   0.35   0.40   0.45   0.50
─────────────────────────────────────────────────────────────────────
KICKS            14%    10%     5%     0%     0%     0%     0%     0%
SNARES           82%    60%    39%     7%     0%     0%     0%     0%
HIHATS          100%   100%    94%    66%     5%     0%     0%     0%
CYMBALS          92%    92%    50%     8%     0%     0%     0%     0%
MELODIC         100%    95%    81%    59%    54%    35%    16%    11%
FULLKIT         100%    89%    82%     7%     0%     0%     0%     0%


═══════════════════════════════════════════════════════════════════════════════
  TRANSIENT DENSITY SWEEP — % of samples above threshold
═══════════════════════════════════════════════════════════════════════════════
Group           0.05   0.10   0.15   0.20   0.25   0.30   0.35   0.40
─────────────────────────────────────────────────────────────────────
KICKS           100%   100%   100%     6%     6%     6%     0%     0%
SNARES          100%   100%   100%     6%     6%     6%     0%     0%
HIHATS          100%   100%   100%    19%    19%    19%     2%     2%
CYMBALS         100%   100%   100%    58%    58%    58%     8%     8%
MELODIC         100%   100%   100%   100%   100%   100%   100%   100%
FULLKIT         100%   100%   100%     0%     0%     0%     0%     0%


═══════════════════════════════════════════════════════════════════════════════
  FLATNESS SWEEP — % of samples above threshold
═══════════════════════════════════════════════════════════════════════════════
Group           0.02   0.04   0.06   0.08   0.10   0.12   0.15   0.18
─────────────────────────────────────────────────────────────────────
KICKS           100%    71%    59%    40%    30%    19%    16%    14%
SNARES          100%   100%   100%    97%    93%    91%    84%    63%
HIHATS          100%   100%   100%   100%   100%   100%   100%   100%
CYMBALS         100%   100%   100%   100%   100%   100%   100%    83%
MELODIC         100%   100%   100%    97%    73%    65%    54%    43%
FULLKIT         100%   100%   100%   100%   100%   100%   100%   100%


═══════════════════════════════════════════════════════════════════════════════
  STROBE DRIVE RAW SWEEP — % of samples above threshold
═══════════════════════════════════════════════════════════════════════════════
Group           0.20   0.21   0.22   0.23   0.25   0.28   0.30   0.35
─────────────────────────────────────────────────────────────────────
KICKS            29%    29%    29%    29%    25%    21%    21%    11%
SNARES           90%    90%    89%    89%    87%    86%    84%    71%
HIHATS          100%   100%   100%   100%   100%   100%   100%   100%
CYMBALS         100%   100%   100%   100%    83%    83%    83%    58%
MELODIC          97%    97%    97%    97%    97%    73%    70%    65%
FULLKIT         100%   100%   100%   100%   100%   100%   100%    61%


═══════════════════════════════════════════════════════════════════════════════
  SIMULATED driveRaw — candidate weights + recalibrated WNS
═══════════════════════════════════════════════════════════════════════════════
WNS  = clamp((flatness - 0.04) / 0.13)
FLUX = clamp((fluxNorm - 0.9) / 0.1)
drive = 0.6*td + 0.3*wns + 0.1*flux


### SIMULATED driveRaw — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0900   0.1384   0.1886   0.3000   0.3900   0.3900   0.4143   0.2164
SNARES      230    0.1445   0.4225   0.4775   0.4881   0.4899   0.5418   0.5900   0.4454
HIHATS       62    0.4725   0.4878   0.4893   0.4900   0.5911   0.5916   0.6934   0.5094
CYMBALS      12    0.3900   0.4281   0.5266   0.5918   0.5920   0.5920   0.5940   0.5160
MELODIC      37    0.4344   0.5335   0.7316   0.8512   0.9000   0.9000   0.9000   0.7100
FULLKIT      28    0.3900   0.4298   0.4808   0.4891   0.4900   0.4900   0.4900   0.4596

### SIMULATED whiteNoiseScore — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0000   0.0000   0.1870   0.4779   1.0000   1.0000   1.0000   0.3207
SNARES      230    0.1444   0.9732   1.0000   1.0000   1.0000   1.0000   1.0000   0.9188
HIHATS       62    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
CYMBALS      12    0.9376   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   0.9948
MELODIC      37    0.2853   0.4582   0.9214   1.0000   1.0000   1.0000   1.0000   0.7658
FULLKIT      28    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000

### SIMULATED driveRaw SWEEP — % above threshold
Group           0.10   0.15   0.20   0.25   0.30   0.35   0.40   0.45
─────────────────────────────────────────────────────────────────────
KICKS            87%    70%    41%    32%    25%    16%     2%     0%
SNARES          100%   100%    96%    92%    92%    90%    83%    67%
HIHATS          100%   100%   100%   100%   100%   100%   100%   100%
CYMBALS         100%   100%   100%   100%   100%   100%    83%    75%
MELODIC         100%   100%   100%   100%   100%   100%   100%    97%
FULLKIT         100%   100%   100%   100%   100%   100%    86%    68%


═══════════════════════════════════════════════════════════════════════════════
  TONAL GATE — scaledKick / (scaledHighs + 1e-6)
═══════════════════════════════════════════════════════════════════════════════

### TONAL RATIO — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63   24.5031  76.9468    152.0    503.7   3258.3   3912.5  17096.1   1090.6
SNARES      230    0.0794   0.8656   1.7711   3.2000  74.7791    190.7    729.2  34.5288
HIHATS       62    0.0119   0.0364   0.0777   0.1454   0.2274   0.2601   0.5616   0.1107
CYMBALS      12    0.0580   0.0833   0.1649   0.3183   0.5223   0.6551   0.8692   0.2908
MELODIC      37    4.2332   6.2698   9.2189  26.6472  56.9912  90.1885    197.6  27.3619
FULLKIT      28    0.0527   0.9335   2.2189  89.7194    145.5    169.8    715.1  79.7108

### COLOR SNAP GATE — % passing (chromaFlux > 0.0130 AND tonalRatio > R)

  tonalRatio > 0.5
    KICKS         1/ 63    2%
    SNARES       69/230   30%
    HIHATS        1/ 62    2%
    CYMBALS       3/ 12   25%
    MELODIC      20/ 37   54%
    FULLKIT       5/ 28   18%

  tonalRatio > 1.0
    KICKS         1/ 63    2%
    SNARES       52/230   23%
    HIHATS        0/ 62    0%
    CYMBALS       0/ 12    0%
    MELODIC      20/ 37   54%
    FULLKIT       5/ 28   18%

  tonalRatio > 2.0
    KICKS         1/ 63    2%
    SNARES       36/230   16%
    HIHATS        0/ 62    0%
    CYMBALS       0/ 12    0%
    MELODIC      20/ 37   54%
    FULLKIT       3/ 28   11%

  tonalRatio > 5.0
    KICKS         1/ 63    2%
    SNARES        7/230    3%
    HIHATS        0/ 62    0%
    CYMBALS       0/ 12    0%
    MELODIC      17/ 37   46%
    FULLKIT       3/ 28   11%


═══════════════════════════════════════════════════════════════════════════════
  CHROMA FLUX SWEEP — % of samples above threshold
═══════════════════════════════════════════════════════════════════════════════
Group          0.005  0.008  0.010  0.012  0.015  0.018  0.020  0.025
─────────────────────────────────────────────────────────────────────
KICKS            37%    10%     6%     6%     2%     0%     0%     0%
SNARES           97%    78%    62%    43%    20%     6%     3%     0%
HIHATS          100%    87%    77%    66%    42%    23%     8%     0%
CYMBALS         100%   100%   100%   100%    83%    67%    50%    25%
MELODIC          97%    95%    84%    65%    46%    27%    14%     8%
FULLKIT         100%    93%    64%    39%    18%     4%     0%     0%
